id	generation	parent1	parent2	feasible	[Continuous] input_0	[Categorical] input_1	[Minimize] displacement	[Minimize] material
0	0	None	None	True	[1.4029250399622124, 2.1135316820811894, 2.8729395562430367, 3.3406050743604574, 0.8954683816033243, 3.814807032990621]	[1, 2, 2, 0, 1]	0.013782	4382.915982
1	0	None	None	True	[3.3672264792184627, 4.638691939865528, 1.7372425632560033, 3.355245221936254, 3.0063676346928654, 3.503470009091945]	[2, 1, 1, 2, 2]	0.001792	5326.902973
2	0	None	None	True	[1.9291944666325906, 2.5667857723605736, 4.205531187305583, 3.0189962701278255, 1.775135083953231, 4.408502718064834]	[2, 1, 1, 0, 2]	0.001653	4718.605644
3	0	None	None	True	[3.9060886953251988, 4.822786939399645, 3.5964402590667093, 0.3626169002270513, 0.6505752959405059, 0.525047822460708]	[1, 1, 0, 2, 2]	0.015139	4240.106571
4	0	None	None	True	[3.354436324744859, 1.5937011053210766, 2.8712811474192437, 4.723064315311044, 3.721857086035963, 0.7817735151450833]	[1, 1, 1, 2, 1]	0.001467	5213.465927
5	0	None	None	True	[2.4145082160378073, 3.0524047399633574, 0.05272232609192684, 3.3479282833393773, 0.7811822936682056, 1.2625165242721343]	[1, 1, 1, 1, 1]	0.022922	4254.164735
6	0	None	None	True	[3.634062907993539, 1.2782997132792306, 1.139690144385304, 2.0300064474151576, 1.7524206722067293, 3.685555654373694]	[2, 1, 0, 1, 2]	0.007226	3997.148219
7	0	None	None	True	[2.825054975987538, 2.446373875989252, 3.705197457242902, 2.8685322001770217, 0.2946968513245568, 2.4239382289454876]	[1, 2, 2, 1, 2]	0.004643	4466.51965
8	0	None	None	True	[0.6060777932991707, 1.7143395576675824, 2.70784884434574, 2.714636780730361, 3.3805602891793196, 0.6298612907710638]	[1, 0, 0, 0, 0]	0.006657	2857.158303
9	0	None	None	True	[2.6402045018329314, 3.1769283876696375, 2.9434584391147096, 2.760418609717557, 2.8998075270826504, 3.4663351546317616]	[2, 2, 1, 2, 0]	0.011426	4473.02807
10	0	None	None	True	[4.854540303685157, 4.259312289476785, 3.198192299606414, 4.690299230922156, 2.9696971654974806, 4.628201072356079]	[1, 0, 2, 0, 0]	0.018642	4807.316478
11	0	None	None	True	[2.220058160100091, 2.3542975036435463, 4.382549754362231, 3.922641826312106, 2.2509539966180303, 1.355760237595001]	[2, 1, 0, 2, 2]	0.001809	4625.098094
12	0	None	None	True	[1.4372358572279764, 3.4861881060520568, 4.2179295031601525, 0.02288419844599654, 4.686283972773243, 2.9479141955142154]	[1, 1, 2, 0, 0]	0.052731	5052.625547
13	0	None	None	True	[0.7374937235895251, 1.5771616143166551, 1.375948451348823, 0.7098811794188487, 1.0584136174285175, 2.70252899467265]	[1, 0, 1, 2, 0]	0.015983	2799.231558
14	0	None	None	True	[2.3965888855048982, 3.6569857641199137, 4.319151361777143, 3.8146528777464868, 4.5958653574901795, 0.772955651907134]	[1, 1, 1, 1, 0]	0.00137	5393.918074
15	0	None	None	True	[2.9798316825631037, 0.5798839678810391, 0.34614849807091064, 1.5913171319549846, 0.5053350445131793, 4.203780787627158]	[1, 2, 2, 0, 2]	0.008304	3483.641224
16	0	None	None	True	[2.2248274714457867, 3.592487828985939, 3.515898619764667, 0.8826942026110179, 1.9634468861770253, 4.223849823149136]	[1, 1, 2, 2, 1]	0.004589	5153.411608
17	0	None	None	True	[1.9136754575830288, 4.994225394053361, 1.5831126449459338, 1.728271801277013, 3.179531711706182, 1.0225903960011573]	[2, 0, 1, 1, 1]	0.022358	4362.00361
18	0	None	None	True	[1.0454874524591617, 3.896206889673983, 4.270265246381337, 1.4507546637876412, 2.6897710806335406, 0.808669632493571]	[1, 0, 0, 2, 2]	0.015058	4107.661127
19	0	None	None	True	[3.9735458563149932, 1.958079324534432, 2.4028317646568342, 2.9704051176523594, 1.4851339792827072, 4.268042557348156]	[1, 1, 1, 2, 0]	0.020428	4585.743662
20	0	None	None	True	[3.307066751699594, 3.8950571976414623, 4.490730351623505, 3.943150188424208, 4.843910964378223, 4.275492995068986]	[2, 2, 0, 1, 1]	0.001996	5672.613325
21	0	None	None	True	[1.6422993042229077, 2.465771661504003, 4.212566920368484, 4.601583600393889, 0.327456302539752, 4.299350469375968]	[2, 1, 1, 2, 2]	0.012653	5610.829032
22	0	None	None	True	[2.3493809239833636, 4.935834403337012, 2.0674988605430378, 0.7649022390058258, 3.234915149134052, 0.7316152932466968]	[0, 1, 2, 0, 1]	0.02414	4010.569962
23	0	None	None	True	[3.9220583606075152, 0.6298208752999895, 0.255649807344388, 1.2590536634894112, 2.730298743923753, 2.8084208142084983]	[2, 0, 0, 2, 0]	0.031688	3331.983699
24	0	None	None	True	[3.089415742802288, 4.1333145834009075, 2.7062716762787753, 3.2097040642438945, 3.7298198057047838, 1.8258404595826683]	[1, 1, 1, 2, 2]	0.001373	5316.077852
25	0	None	None	True	[0.3615209452297763, 4.821833239625842, 3.163368123739248, 0.12108479968230557, 0.4841793428446173, 4.039178417851788]	[0, 1, 0, 2, 2]	0.027689	4065.892546
26	0	None	None	True	[1.354569196971619, 3.3785969464759367, 1.6955285018470518, 2.2078762510177463, 1.8915709402942822, 4.751133438478557]	[2, 0, 1, 0, 1]	0.015909	4152.579667
27	0	None	None	True	[3.942766986804958, 2.9788279205222317, 0.10936868383718434, 4.141385522292658, 0.24616940754192573, 1.0199487938328333]	[2, 1, 1, 2, 0]	0.02854	4770.071917
28	0	None	None	True	[4.573931044347554, 4.102610896883444, 4.0093865448710035, 3.6539049801454064, 3.1555892612387537, 4.599807741004464]	[1, 1, 1, 0, 0]	0.018703	5094.619274
29	0	None	None	True	[3.8433661463758373, 3.2843070141010933, 3.594569829787291, 3.104109684300206, 0.5550020852432647, 2.3386481424082524]	[1, 2, 1, 0, 2]	0.006061	4505.422832
30	0	None	None	True	[0.8377439500942974, 4.1749691700096205, 4.855390099104459, 3.550449311151564, 0.8256878954532959, 3.651166185196219]	[2, 2, 2, 0, 2]	0.009365	5034.192075
31	0	None	None	True	[4.045482528814605, 3.5802365466752257, 4.910070083589748, 0.8878660319228687, 0.08586865181421821, 3.374114957185401]	[2, 0, 0, 1, 0]	0.03869	4098.66702
32	0	None	None	True	[1.7671101531296225, 3.4916254010788563, 1.7406872959094521, 3.8022271829860403, 4.399768735913084, 3.1621064072567044]	[2, 2, 0, 1, 2]	0.011731	5033.347071
33	0	None	None	True	[4.43056390857842, 2.1706663561984394, 1.2011992596009535, 2.798211763828677, 1.253974629643514, 1.8832101957902603]	[0, 2, 2, 1, 1]	0.016546	3911.837611
34	0	None	None	True	[2.256943785402016, 0.24116045553220722, 4.606915073597408, 0.10885274236737574, 3.2806403078799145, 0.4334951157403072]	[1, 1, 0, 0, 2]	0.025116	4436.947605
35	0	None	None	True	[4.7414076585074145, 0.03407709048614094, 1.917104791277775, 2.5111119488862537, 2.0576760415112587, 0.5113165547552267]	[1, 0, 1, 1, 1]	0.018315	3900.444809
36	0	None	None	True	[1.8321123429391402, 2.427703198278999, 4.3902847221731545, 1.4938548434994292, 3.244559447254071, 1.0296607850286754]	[2, 2, 1, 2, 1]	0.002269	4433.678636
37	0	None	None	True	[1.148156746070505, 4.463280841397018, 1.770941924823437, 3.1560550083735435, 3.6784614814220125, 1.1311450451498983]	[0, 2, 1, 1, 1]	0.002814	4834.774876
38	0	None	None	True	[0.8562066401062612, 4.238863219381442, 2.549713931141824, 1.0768522799804465, 2.8971006770475745, 1.6387865022328056]	[0, 2, 0, 0, 1]	0.022626	3711.607395
39	0	None	None	True	[3.2425818100396633, 0.7061298143242806, 3.9660676763201868, 3.8168343473784008, 1.636154095221849, 4.504092575397198]	[2, 1, 1, 0, 1]	0.009824	5402.012861
40	0	None	None	True	[1.4064058930968342, 1.5675011497659452, 4.3012575073815515, 1.5537881069662363, 4.17079604999285, 0.04654241259146763]	[0, 0, 0, 1, 2]	0.021529	4162.934638
41	0	None	None	True	[2.79430335372746, 0.08627956839104778, 0.06352540619446845, 1.3464362718545648, 0.8078569726622103, 3.992821879362734]	[0, 1, 1, 0, 1]	0.029185	3390.644264
42	0	None	None	True	[1.809252122101284, 3.204957002231943, 1.6535487277572725, 2.565194291613699, 2.66358289209275, 2.031708217168828]	[2, 1, 1, 2, 1]	0.001824	4254.252374
43	0	None	None	True	[2.9288496416071856, 4.287427472861584, 4.598906284671914, 4.570460223388514, 2.041680646575983, 1.2990621310601314]	[1, 1, 1, 2, 1]	0.001376	5688.987919
